,id,title,final
0,19995,Avatar,"Action Adventure Fantasy Science Fiction 2009 Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. James Cameron James Cameron"
1,285,Pirates of the Caribbean: At World's End,"Adventure Fantasy Action 2007 Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsgård ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems. Gore Verbinski"
2,206647,Spectre,"Action Adventure Crime 2015 Daniel Craig Christoph Waltz Léa Seydoux Ralph Fiennes spy based on novel secret agent sequel mi6 british secret service united kingdom A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE. Sam Mendes"
3,49026,The Dark Knight Rises,"Action Crime Drama Thriller 2012 Christian Bale Michael Caine Gary Oldman Anne Hathaway dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy. Christopher Nolan"
4,49529,John Carter,"Action Adventure Science Fiction 2012 Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands. Andrew Stanton"
5,559,Spider-Man 3,"Fantasy Action Adventure 2007 Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle. Sam Raimi"
6,38757,Tangled,"Animation Family 2010 Zachary Levi Mandy Moore Donna Murphy Ron Perlman hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. Byron Howard Nathan Greno"
7,99861,Avengers: Age of Ultron,"Action Adventure Science Fiction 2015 Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. Joss Whedon Joss Whedon"
8,767,Harry Potter and the Half-Blood Prince,"Adventure Fantasy Family 2009 Daniel Radcliffe Rupert Grint Emma Watson Tom Felton witch magic broom school of witchcraft wizardry apparition teenage crush werewolf As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past. David Yates"
9,209112,Batman v Superman: Dawn of Justice,"Action Adventure Fantasy 2016 Ben Affleck Henry Cavill Gal Gadot Amy Adams dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. Zack Snyder"
